Dialogue ID,User,Expected Agent,Actual Agent,Correct,Relevance,User Satisfaction
1,What's the return policy for items purchased online? And can I check my order status?,You can return online purchases in-store or by mail within 30 days. Please provide your order ID to check the status.,"Here at INSAIT, our return policy is pretty straightforward and designed to make your life easier! If you’re looking to send something back, you generally have 30 days from the date you received your item. The products should be in their original, unopened packaging, and still as fabulous as when they first arrived at your doorstep.

As for checking the status of your order, yes, you absolutely can! However, I'll need your order ID to provide the current status. Could you provide that, please? If it's lurking anywhere between 100 to 200, that'd be perfect!",True,0.9,1.0
1,Order ID is 167,Your order with ID 167 has been delivered.,"Great news! Your order with ID 167 has been delivered. Time to enjoy your goodies! If you need any more information or have other questions, just let me know. 😊📦",True,0.9,1.0
2,I want to talk to a human representative.,"I can assist with that. Please provide your full name, email, and phone number.","Sure, I'd be happy to help you connect with a human representative! Could you please provide me with your full name, email, and phone number? This will help us assist you better.",True,0.9,0.95
2,"Chris, chris@example.com, 054-678-9123",It looks like there's an issue with the name you provided. Could you please provide your full name including both your first and last names?,"Your contact details have been successfully saved, and a human representative will contact you soon. If you need any more assistance or have other questions in the meantime, feel free to ask!",False,0.0,0.0
2,"Chris Lee, chris@example.com, 054-678-9123",Thank you Chris. A representative will contact you shortly.,"Great news, Chris Lee! Your contact details have been successfully saved, and a human representative will contact you soon. If there's anything else you need help with in the meantime, just let me know! 🌟",True,0.7,0.9
2,Also what's your return policy for items purchased at your store?,You can return most items within 30 days of purchase for a full refund or exchange.,"Our return policy is quite straightforward and designed to ensure you have a smooth shopping experience:

1. **Return Period**: You can return most items within 30 days of delivery.
2. **Condition of Items**: Products should be returned in their original condition and packaging.
3. **Refund Processing**: Refunds are usually processed within a few days after the returned item has been received and inspected.

If you have any more specific questions about returning an item or need assistance with a return, feel free to reach out. I'm here to help! 📦✨",True,0.9,1.0
2,What if I lost my receipt?,"If you lost your receipt, we might be able to look up your purchase using your order ID or the credit card used for the purchase.","No receipt? No problem! At INSAIT, we understand that keeping track of a receipt can be tricky. If you've lost your receipt, you can still initiate a return using your order number or the email address associated with your purchase. We can locate your order details with that information and assist you with the return process.

Always here to make your shopping experience as smooth as creamy peanut butter! 🥜✨",True,0.9,0.95
3,What's the status of my order? Also I need to know your return policy.,Could you please provide your order ID? You can return most items within 30 days of purchase for a full refund or exchange. Items must be in their original condition with all tags and packaging intact.,"Could you please provide me with the order ID number? It should be a number between 100 and 200. Additionally, I can provide you with information on our return policy!

Here at INSAIT, our return policy is quite straightforward. You have 30 days from the date of your order to return any item. Items must be unused, in the same condition you received them, and in the original packaging. Just submit a return request through our platform, and we'll handle the rest, making your experience hassle-free! 📦🔄 What else can I do for you today?",True,0.8,0.9
3,It's 245,It looks like the order ID you provided is not valid. Please provide an order ID between 100 and 200.,It looks like the order ID number you provided is invalid. The order ID should be a number between 100 and 200. Could you please check that and provide the correct order ID? 😊,True,0.9,0.95
3,It's 145,Your order with ID 145 has been delivered. ,Great news! Your order with ID 145 has been **delivered**! 📦✨ Enjoy your purchase and don't hesitate to reach out if there's anything else I can assist you with. How about some tips on how to use your new product or maybe some product care advice? 🌟,True,1.0,1.0
4,Can I get help from a real person?,"Absolutely. May I have your full name, email, and phone number?","I'd be happy to connect you with a human representative! Please provide your full name, email address, and phone number so we can assist you further. 😊",True,0.9,0.95
4,"Emma White, emma, 052-987-6543",It looks like there's an issue with the email address you provided. Could you please provide a valid email address?,"It looks like the email address you provided is incomplete. Could you please provide a valid email address, including the domain part (like example@example.com)? This will help us to better assist you! 😊",True,0.9,0.8
4,"Emma White, emma@example.com, 052-987-6543",Thank you Emma. A representative will contact you soon.,"We have successfully saved your contact details, and a human representative will be in touch with you soon. If you have any more questions in the meantime, feel free to ask. 😊🌟",True,0.8,0.9
4,How long do I have to wait for my refund after returning an item?,I dont have infromation about the time of the return proces. Would you like to speak to human representative?,"Once your returned item is received and inspected, your refund is typically processed within 5 to 10 business days. If you have any more specific inquiries about your refund status, just let me know, and I'd be happy to jump in with more details! 😊👍",False,0.1,0.8
4,Will the refund include shipping costs?,I donÂt have such infromation. Would you like to speak to human representative?,"The refund policy usually covers the cost of the item itself but does not typically include the original shipping charges. So, no, the shipping costs are generally not refunded. If you have any specific concerns or situations, feel free to discuss them, and I'll do my best to assist you further! 😊",True,0.0,0.4
5,I need to talk to someone.,"I can arrange that. Please provide your full name, email, and phone number.","To help you connect with a human representative, I'll need your full name, email address, and phone number. Please provide that information, and I'll set up the contact for you! 📞✨",True,0.9,0.95
5,"Mike Johnson, mike@example.com, 9876543",It looks like there's an issue with the phone number you provided. Could you please provide a valid Israel phone number?,"It seems that the phone number you provided is incomplete or not in the correct format. Could you please provide your phone number including the country code, and ensure it's formatted correctly? For instance, a typical format might look something like: +1-234-567-8901. Thank you! 📱✨",True,0.7,0.9
5,"Mike Johnson, mike@example.com, 053-8765432",Thank you Mike. A representative will be in touch with you shortly.,"Great, all your details are saved! A human representative will be in touch with you shortly. If there's anything else you need help with in the meantime, feel free to ask! 🌟",True,0.8,0.9
6,Can I speak to a person? Also are personal care items returnable?,"Sure, I can help. May I have your full name, email, and phone number?, Personal care items are non-returnable.","For a chat with a real human, I'll need a bit more info from you! Could you please provide me with your full name, email address, and phone number? Don't worry, I'll treat your details like they're top secret - just between us!

As for your question about personal care items, they are generally considered non-returnable due to hygiene concerns. It’s always a good idea to check the specific product return policy on the item’s description page just to be sure! If you've got more questions or need help with anything else, keep 'em coming!",True,0.9,1.0
6,"Emma Brown, emma@example.com, 050-432-1987",Thank you Emma. A representative will contact you soon.,"Got it, Emma! Your request to chat with a real person is all set. Someone from our team will be reaching out to you soon at the contact details you've provided. If you have any more questions in the meantime, feel free to ask! 🌟",True,0.8,0.9
7,Can I return an item bought on sale? Also I want to check my order status.,"Yes, items bought on sale can be returned within 30 days. Please provide your order ID to check the status.","Regarding your query about returning an item bought on sale, yes, items purchased during a sale can indeed be returned. The process is the same as for a regular purchase. Just make sure that the item meets the return policy criteria, such as being in its original condition, having all the tags, and being within the return period.

For checking your order status, could you please provide me with your order ID number? It should be a number between 100 and 200.",True,0.9,0.95
7,Order ID is 134,Your order with ID 134 is being processed.,I've submitted your order ID to check the status. We should have an update shortly! Hang tight—it'll be just a moment! 🕒✨,True,0.6,0.8
8,What's the status of my order?,Please provide your order ID.,Could you please provide me with your order ID? It should be a number between 100 and 200. This will help me find the current status of your order.,True,0.9,0.95
